gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
269,Oldebroek,24507,0.21,0.16,0.05,5146,1698,340,1224,317,1,1334890,69225,3921,1294,259,932,242,1,1017284,52847,1225,404,81,292,76,0,317606,16597
273,Putten,25049,0.221,0.159,0.062,5536,1827,365,1314,341,2,1436304,74466,3983,1314,263,947,246,1,1033007,53721,1553,512,102,367,95,0,402511,20746
274,Renkum,31452,0.297,0.21,0.087,9341,3083,617,2221,576,3,2423714,125785,6605,2180,436,1570,407,2,1713817,88879,2736,903,181,652,169,1,709897,36906
275,Rheden,43951,0.272,0.19,0.08199999999999999,11955,3945,789,2840,736,3,3101379,160725,8351,2756,551,1984,514,2,2166641,112245,3604,1189,238,857,222,1,934738,48480
277,Rozendaal,1841,0.233,0.18,0.053,429,142,28,101,26,0,111634,5678,331,109,22,79,20,0,85691,4368,98,32,6,22,6,0,25157,1310
279,Scherpenzeel,10641,0.2,0.145,0.055,2128,702,140,504,131,1,551880,28607,1543,509,102,367,95,0,400153,20746,585,193,39,140,36,0,151728,7862
281,Tiel,42581,0.2,0.154,0.046,8516,2810,562,2023,524,2,2209094,114429,6557,2164,433,1559,404,2,1701238,88224,1959,646,129,464,120,1,507856,26205
285,Voorst,25572,0.261,0.19899999999999998,0.062,6674,2202,440,1584,411,2,1731112,89753,5089,1679,336,1210,314,1,1319953,68570,1585,523,105,378,98,0,411159,21401
289,Wageningen,42946,0.16899999999999998,0.125,0.044000000000000004,7258,2395,479,1724,447,2,1882840,97614,5368,1771,354,1274,330,1,1392279,72064,1890,624,125,450,117,1,490560,25550
293,Westervoort,15231,0.23600000000000002,0.193,0.043,3595,1186,237,853,221,1,932379,48261,2940,970,194,698,181,1,762570,39526,655,216,43,155,40,0,169809,8735
294,Winterswijk,29302,0.258,0.192,0.066,7560,2495,499,1796,466,2,1961455,101763,5626,1857,371,1336,346,2,1459889,75558,1934,638,128,461,120,1,501567,26205
296,Wijchen,42054,0.23600000000000002,0.182,0.055,9925,3275,655,2358,611,3,2574656,133428,7654,2526,505,1818,471,2,1985826,102855,2313,763,153,551,143,1,599836,31228
297,Zaltbommel,30631,0.19399999999999998,0.147,0.047,5942,1961,392,1411,366,2,1541649,79926,4503,1486,297,1069,277,1,1168225,60490,1440,475,95,342,89,0,373423,19435
299,Zevenaar,45528,0.254,0.192,0.062,11564,3816,763,2747,712,3,2999965,155484,8741,2885,577,2077,538,2,2268055,117486,2823,932,186,670,174,1,732696,37997
301,Zutphen,49332,0.253,0.196,0.057,12481,4119,824,2966,769,3,3238170,167931,9669,3191,638,2297,596,3,2508619,130152,2812,928,186,670,174,1,729551,37997
302,Nunspeet,29681,0.21899999999999997,0.163,0.057,6500,2145,429,1544,400,2,1686301,87350,4838,1597,319,1148,298,1,1255489,65076,1692,558,112,403,104,0,438674,22711
303,Dronten,45359,0.192,0.147,0.046,8709,2874,575,2070,537,2,2259408,117268,6668,2200,440,1584,411,2,1729540,89753,2087,689,138,497,129,1,541660,28171
